title,price,rating,link
Apple iPhone 15 (128 GB) - Blue,"52,990",,
"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","11,999",,
"Samsung Galaxy Z Fold6 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), 50MP High-Resolution Camera, Snapdragon 8 Gen 3, Google Gemini","1,09,999",,
"iQOO Z10 5G (Glacier Silver, 12GB RAM, 256GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapdragon 7s Gen 3 Processor | Brightest Quad Curved AMOLED Display in The Segment","26,999",,
"POCO M7 5G Satin Black 8GB RAM|128GB ROM|SD4 Gen2 Processor|6.88"" HD+ Display|50MP Camera|8MP Front Camera|5160 mAh Battery","9,999",,
OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 12GB + 256GB | Black Infinity,"28,997",,
"Nothing Phone (3a) Pro 5G (Grey, 12GB RAM + 256GB Storage)","32,780",,
Nothing Phone (3a) 5G (8GB RAM + 128GB Storage) (White),"23,760",,
"Samsung Galaxy F06 5G, Bahama Blue (4GB, 128GB)","8,730",,
"iPhone 17 Pro Max 2 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Silver","2,29,900",,
"iPhone Air 1 TB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Sky Blue","1,54,900",,
"Nokia 220 4G | All-New Classic Keypad Phone with Dual SIM, Built-in UPI App, Wireless FM Radio, MP3 Player, Bluetooth & USB Type C | Peach","3,249",,
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","9,999",,
OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 12GB + 512GB | Phantom Grey,"37,998",,
"Nothing Phone (3A) 5G (White, 8GB RAM, 256GB Storage)","26,388",,
"Samsung Galaxy M17 5G (Moonlight Silver, 6GB RAM, 128GB Storage)| 50MP OIS Triple Camera| Gorilla Glass Victus| IP54 Rating| 6 Gen of OS Upgrades| AI| Circle to Search| Gemini Live| Without Charger","15,499",,
"Samsung Galaxy M36 5G (Velvet Black, 8 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","18,999",,
"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm® Snapdragon™ 7 Gen 3 - Best in The Segment | 50 MP Camera with OIS","19,900",,
"vivo V60e 5G (Elite Purple, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","29,999",,
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","66,900",,
"iPhone 16 Pro Max 512 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; White Titanium","1,54,900",,
Apple iPhone 15 (128 GB) - Black,"52,990",,
"iPhone 17 Pro Max 2 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Cosmic Orange","2,29,900",,
"Motorola G96 144Hz 3D Curved pOLED (PANTONE Greener Pastures, 8GB RAM, 128GB Storage)","16,999",,
"Nokia 105 Classic | Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio, Charger in-Box | Charcoal","1,149",,
"realme NARZO 80x 5G (Midnight Blue, 6GB+128GB) | Dimensity 6400 5G Chipset | 6000mAh Long-Lasting Battery | 45W Fast Charge | 120Hz Eye Comfort Display | IP69 Top-Tier Waterproof","11,499",,
"iQOO Z10R 5G (Moonstone, 8GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu","22,999",,
"Samsung Galaxy A35 5G (Awesome Lilac, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster","18,975",,
"VIVO T4x (Pronto Purple, 8GB, 128GB)","16,860",,
"Lava Bold N1 (Radiant Black, 4 GB RAM, 64 GB Storage) | 6.75"" (90 Hz) HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Case in Box","5,999",,
"VIVO X200 FE 5G (Frost Blue, 16GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers","59,998",,
"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Deep Blue","1,34,900",,
"iPhone Air 512 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Sky Blue","1,34,900",,
OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 128GB | Black Infinity,"24,998",,
"iQOO Neo 10 (Titanium Chrome, 8GB RAM, 256GB Storage) | Snapdragon 8s Gen 4 Processor & SuperComputing Chip Q1 | 7000 mAh Battery | Segment’s Highest 144 FPS Gaming Smartphone","36,999",,
"Tecno POP 9 5G (Azure Sky, 8GB+128GB) | D6300 5G Processor | 48MP Sony AI Camera | 4+ Year Lag Free Fluency |5000 mAh Battery |Dual Speaker | Without Charger","9,399",,
"CMF Phone 2 Pro 5G (White, 8GB RAM, 128GB Storage)","19,199",,
"Moto razr 50 (Beach Sand, 8GB RAM, 256GB Storage)","42,999",,
"JIO JioBharat V4 4G Keypad Phone with Safety Shield Feature, JioTV, JioHotstar, JioSaavn, JioPay (UPI & SoundPay), LED Torch, Digital Camera, 1000mAh Battery | Blue | Locked Network",799,,
Redmi A3X Ocean Green 4GB RAM 128GB ROM,"7,189",,
"Oppo F31 Pro+ 5G (Gemstone Blue, 12GB RAM, 256GB Storage)","33,479",,
"iPhone 16 Pro Max 1 TB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","1,74,900",,
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; White","51,499",,
